episode,reward,length
470,500.0,500
471,500.0,500
472,500.0,500
473,500.0,500
474,500.0,500
475,500.0,500
476,500.0,500
477,500.0,500
478,500.0,500
479,500.0,500
480,500.0,500
481,500.0,500
482,500.0,500
483,500.0,500
484,500.0,500
485,500.0,500
486,500.0,500
487,500.0,500
488,500.0,500
489,500.0,500
490,500.0,500
491,500.0,500
492,500.0,500
493,500.0,500
494,500.0,500
495,500.0,500
496,500.0,500
497,500.0,500
498,500.0,500
499,500.0,500
500,500.0,500
